NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,일죽중앙약국,약국,,17529,"경기도 안성시 일죽면 금일로 459-2, (일죽면)",
2,일죽큰사랑약국,약국,,17529,"경기도 안성시 일죽면 금일로 463, 우측호",
3,성림약국,약국,031-672-5328,17529,"경기도 안성시 일죽면 금일로 465-8, (일죽면)",
4,기쁨약국,약국,031-674-1366,17529,"경기도 안성시 일죽면 주래본죽로 20, (일죽면)",
5,세계로약국,약국,676-9688,17519,"경기도 안성시 죽산면 죽주로 283, 106호 (훼밀리타운)",
6,미소약국,약국,676-0711,17519,"경기도 안성시 죽산면 죽주로 271, (죽산면)",
7,인생약국,약국,031-676-6053,17519,"경기도 안성시 죽산면 죽주로 256, (죽산면)",
8,이화약국,약국,031-676-6031,17519,"경기도 안성시 죽산면 죽주로 226-1, (죽산면)",
9,삼성약국,약국,674-8856,17512,"경기도 안성시 삼죽면 삼백로 8, 8",
10,홍익사과약국,약국,031-677-3566,17535,"경기도 안성시 금광면 종합운동장로 132, (홍익아파트)",
11,보개약국,약국,031-675-7178,17509,"경기도 안성시 보개면 보개원삼로 257, (보개면)",
12,건강백세 온누리약국,약국,031-672-8836,17505,"경기도 안성시 고삼면 고삼호수로 10, (고삼면)",
13,초록약국,약국,031-8052-8275,17589,"경기도 안성시 중앙로411번길 8, 성민빌딩 (영동)",
14,바른손약국,약국,031-675-7582,17587,"경기도 안성시 금산길 10, (연지동)",
15,현대약국,약국,031-674-7662,17592,"경기도 안성시 중앙로 408, (동본동)",
16,약손온누리약국,약국,031-674-8729,17589,"경기도 안성시 중앙로 397-1, (대천동)",
17,제일당약국,약국,031-674-1041,17592,"경기도 안성시 중앙로400번길 19, (동본동)",
18,왕약국,약국,031-677-9850,17589,"경기도 안성시 중앙로 393, (대천동)",
19,웃음짓는약국,약국,031-674-2847,17589,"경기도 안성시 중앙2길 10, 1층 (대천동)",
20,새안성약국,약국,674-7585,17592,"경기도 안성시 시장길 58, 희망빌딩 1층 101호 (서인동)",
21,서인약국,약국,031-676-2022,17592,"경기도 안성시 시장길 58, 안성성모병원 (서인동)",
22,성모약국,약국,031-675-9200,17592,"경기도 안성시 중앙로400번길 34, 1층 (서인동)",
23,중앙약국,약국,031-675-2109,17592,"경기도 안성시 낙원길 37, (서인동)",
24,봄약국,약국,671-0799,17592,"경기도 안성시 중앙로 388, (서인동)",
25,서울약국,약국,031-675-2236,17592,"경기도 안성시 안성맞춤대로 1052, 우측호 (서인동)",
26,프라자약국,약국,031-672-2274,17581,"경기도 안성시 안성맞춤대로 1049, 1층 (서인동)",
27,신성온누리약국,약국,675-8786,17581,"경기도 안성시 안성맞춤대로 1045, 1층 (서인동)",
28,한진약국,약국,031-675-5659,17581,"경기도 안성시 중앙로 380, (서인동)",
29,늘푸른 온누리 약국,약국,672-2739,17570,"경기도 안성시 대학로 65, (당왕동)",
30,사랑약국,약국,031-674-9920,17581,"경기도 안성시 중앙로 378, (서인동)",
31,메디팜 두리약국,약국,031-676-3373,17580,"경기도 안성시 중앙로371번길 13, (석정동)",
32,안성종로약국,약국,031-675-7788,17581,"경기도 안성시 중앙로382번길 15, 1층 (서인동)",
33,안성온누리약국,약국,031-675-8882,17581,"경기도 안성시 중앙로 374, 104, 105, 106호 (서인동)",
34,천일약국,약국,031-675-2165,17581,"경기도 안성시 안성맞춤대로 1037, (서인동)",
