NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,용이푸른약국,약국,031-691-5121,17867,"경기도 평택시 현신3길 76, 701동 101호 (용이동, 평택 용이2차 푸르지오)",
2,열린약국,약국,031-692-3723,17868,"경기도 평택시 서동대로 3879, 1층 103호 (용이동)",
3,햇살약국,약국,031-657-4576,17870,"경기도 평택시 현촌4길 2-41, 103호 (용이동, 한국마트 주차빌딩)",
4,봄빛약국,약국,031-651-0524,18034,"경기도 평택시 소사5길 24, 202호 (소사동)",
5,365약국,약국,031-618-3365,18034,"경기도 평택시 소사5길 120, 106호 (소사동)",
6,다온수약국,약국,031-8094-1005,17870,"경기도 평택시 용죽3로 18, 다온빌딩 102호 (용이동)",
7,큰솔약국,약국,031-651-8175,17870,"경기도 평택시 용죽3로 24, 105호 (용이동)",
8,사랑의약국,약국,031-653-2948,17870,"경기도 평택시 용죽2로 32-44, 리더스타워 102호 (용이동)",
9,모닝약국,약국,031-652-3339,17877,"경기도 평택시 소사2길 4, 1층 (소사동)",
10,동대문약국,약국,031-652-6921,17873,"경기도 평택시 중앙로 335, 상가동 1층 101호, 지층 2,3,4호 (비전동, 벽산아파트)",
11,메디팜고운손약국,약국,031-657-7585,17873,"경기도 평택시 중앙로 335, 상가동 111,112,208호 (비전동, 벽산아파트)",
12,삼성약국,약국,657-0311,17873,"경기도 평택시 중앙로 335, 1,2층 103,104,203호 (비전동, 벽산아파트)",
13,평택봄약국,약국,031-653-9492,17877,"경기도 평택시 서동대로 3708, (합정동)",
14,소사벌온누리약국,약국,031-692-1236,17854,"경기도 평택시 비전4로 47, (비전동)",
15,비전미소약국,약국,031-651-9166,17854,"경기도 평택시 비전5로 37, 102호 (비전동)",
16,맑은약국,약국,031-652-5335,17854,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 129호 (비전동)",
17,봄봄약국,약국,031-618-3927,17854,"경기도 평택시 비전5로 20-18, 가로수빌딩 105호 (비전동)",
18,비전중앙약국,약국,031-657-7888,17854,"경기도 평택시 비전5로 16, 프라우빌딩 1층 111-나호 (비전동)",
19,태평양약국,약국,031-651-7233,17874,"경기도 평택시 중앙로 298, (합정동)",
20,오렌지약국,약국,031-658-8409,17872,"경기도 평택시 평남로 722, (비전동)",
21,명약국,약국,031-691-3171,17854,"경기도 평택시 비전5로 11, 4층 403호 (비전동)",
22,자연약국,약국,031-655-2421,17854,"경기도 평택시 비전5로 11, 102호 (비전동)",
23,드림약국,약국,031-654-2164,17854,"경기도 평택시 비전5로 3, (비전동)",
24,평택종합약국,약국,031-657-8383,17885,"경기도 평택시 경기대로 267, (비전동)",
25,성모약국,약국,031-618-3020,17885,"경기도 평택시 경기대로 269, (비전동, 103호)",
26,참사랑약국,약국,031-658-8816,17902,"경기도 평택시 중앙로 284, (합정동)",
27,나무약국,약국,031-652-0671,17902,"경기도 평택시 평택5로20번길 38, (합정동)",
28,나음약국,약국,031-657-5002,17902,"경기도 평택시 중앙로 270, 1층 101호 (합정동)",
29,4층새빛약국,약국,031-611-1655,18025,"경기도 평택시 신촌2로 22, B동 405호 (칠원동)",
30,예그리나 약국,약국,031-663-2924,17726,"경기도 평택시 신촌2로 22, 맘스스퀘어 B동 3층 305호 (칠원동)",
31,행복약국,약국,031-618-8933,17902,"경기도 평택시 중앙로 268, (합정동)",
32,비전상상약국,약국,031-8094-1485,17846,"경기도 평택시 비전4로 142, 110-111호 (비전동)",
